"Candidates should possess at least ten years of experience in management, project management, administration, and/or supervisory work; possess excellent verbal and written skills; and have knowledge of the Cityâ€™s infrastructure and public buildings system.",146121.0
â€¢	BS in Electrical Engineering with minimum 6 years of lighting experience â€¢	A valid Motor Vehicle Driver License. â€¢	Proven ability to lead highly technical staff under demanding time schedules. â€¢	Proficiency in AutoCAD. â€¢	Lighting design software AGI32 and or Visual Lighting â€¢	Excellent verbal and written communication skills. â€¢	Knowledge of illuminating Engineering Society standards and national Electrical Code and New York  Cityâ€™s rules and regulations pertaining to outdoor street lighting.,146121.0
"all candidates must have two years of administrative experience in a child care setting.\"",145991.0
"all candidates must have at least a four-year high school diploma or its educational equivalent and one year of the specialized experience as described in \"\"1\"\" above and must possess the 18 months of executive",145000.0
"Experience in business process analysis, process design and development using Oracle fusion middleware technology stack. And good architectural skills in Enterprise Applications Integration. Experience in BPM (Business Process Management), SOA (Service Oriented Architecture), SB (Service Bus), BAM, OWSM, B2B. Experience in orchestrating services using declarative language BPEL, Mediator, Adapters (FTP, File, JMS, MQ, AQ, HTTP,EJB, DB and B2B), Business Rules, XML, XSLT ,XQuery,WS addressing, WSDL, SOAP, Error handling, Fault Policies, Sensors. Strong problem solving skills, good analytical thinking.",144929.0
"The preferred candidate should possess the following:    â€¢	6+ years of relevant work experience, including 3+ years of work experience in high-pressure, entrepreneurial environments; â€¢	High comfort and familiarity with dev ops best practices; â€¢	Experience with and willingness to do pair programming; â€¢	Familiarity with open-source libraries and tools; â€¢	Expertise in agile development methodologies; â€¢	Experience deploying cloud-based applications; â€¢	Experience deploying on-premises-based applications; â€¢	A growth mindset",144929.0
"â€¢ Extensive experience in doing system design architecture and in writing system design documents. Includes experience specifying logical operations the system will perform and the way the data will be used by the user. â€¢ Extensive PeopleSoft 8.x/9.x (v.9.2 with tools 8.56 is a plus) techno-functional experience with HR and Benefits Administration.  â€¢ Extensive experience with PeopleSoft HCM functionality and business rules.  â€¢ Experience in documenting processes for HR, Payroll and Benefits modules.  â€¢ Experience preparing program specifications. â€¢ Extensive designing data structures,  â€¢ Experienceâ€™ analyzing data using SQL.  â€¢ Experience participating in design walkthroughs and preparations of test plans.  â€¢ Should also have experience with full-lifecycles PeopleSoft HR, Payroll and Ben Admin implementation experience.  â€¢ Working knowledge of app messaging is required (integration broker).  â€¢ Experience with PeopleCode, SQR, SQL, App Designer, Toad.  â€¢ Experience working on PeopleSoft interfaces into legacy and 3rd party systems.  â€¢ Knowledge of PeopleSoft HCM Database model. â€¢ Understanding of systems development lifecycle methodologies.  â€¢ Experience working with an enterprise wide, large-scale implementations.  â€¢ Excellent communications skills (Oral and written), interpersonal, and organizational skills.  â€¢ Working knowledge of Oracle Taleo is a plus.",140000.0
The preferred candidate should have a solid understanding of the issues of interest to the disability community in NYC. Candidate should demonstrate compassion for the challenges the city is facing as we strive to enhance accessibility for all New Yorkers and visitors. An ideal candidate should have a broad and deep understanding of the current state of affairs of city-wide accessibility initiatives.,140000.0
"The preferred candidate should possess the following:  â€¢	Experience overseeing a team in a dynamic and fast-paced environment; â€¢	Experience working with stakeholders across multiple departments and subject matter areas; â€¢	Experience with project management tools, processes, and methodologies; â€¢	Experience using a CRM tool to track and monitor projects; â€¢	Excellent organizational and leadership skills; â€¢	Ability to present information to a range of stakeholders; â€¢	Knowledge of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment; â€¢	Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures.",140000.0
"at least two years of which must have been in a broad administrative or policy-making capacity with responsibilities as described in \"\"1\"\" above; or 3. Education and/or experience equivalent to \"\"1\"\" or \"\"2\"\" above. Undergraduate education above the high school level may be substituted for the community liaison",140000.0
"The position requires a strong background in real estate finance, management, and process engineering with experience in community development. All candidates should have:  â€¢	Knowledge of financial tools and theory as well as facility in the use and analysis of financial models including underwriting experience; â€¢	Understanding of real estate construction and property management; â€¢	Knowledge of NYC government, NYC neighborhoods, and housing policies/issues;  â€¢	Knowledge of community investment and revitalization strategies â€¢	Significant management and leadership experience, including program and process design. Experience in New York City government is a plus;  â€¢	Exceptional written and verbal communication skills; â€¢	Excellent analytical and research skills; â€¢	Demonstrated ability to meet deadlines and manage multiple projects promptly;  â€¢	Strong track record of working within the affordable housing development industry. New York City affordable housing experience a plus; â€¢	Strong follow-through and focus on timely results; â€¢	Ability to work effectively in collaboration with others; â€¢	Meticulous, organized, and great attention to detail; â€¢	Proficiency of Microsoft Office, specifically Access, Sharepoint, Excel, and Powerpoint; â€¢	Candidates with Masters in Urban Planning, Real Estate Finance, Business/Public Administration, or related fields are strongly preferred.",140000.0
"â€¢	Executive-level leadership skills, including the ability to think and plan strategically and proven success developing and supporting high-performing, diverse work teams;  â€¢	Experience working in government, including litigation, legislative, and/or investigative experience;  â€¢	Strong skills in supervision and the ability to work in and direct teams in a diverse environment of non-legal staff;  â€¢	Proficiency in Microsoft Office, including the ability to create and manipulate Excel documents using custom field formulas;  â€¢	Experience using industry-recognized public and private investigative search engines and databases (e.g., LexisNexis or CLEAR);  â€¢	Ability and aptitude to quickly learn new computer programs and technology to improve the divisionâ€™s processes;  â€¢	Ability to understand various laws, rules, and regulations sufficiently to analyze issues and present findings and recommendations;  â€¢	Experience in handling multiple assignments with competing deadlines with a high degree of detail and accuracy;  â€¢	Ability to work collaboratively on operational tasks including personnel, hiring, budget, IT, and reporting;  â€¢	Excellent verbal, written, interpersonal, analytical, and problem-solving skills, including public speaking experience;  â€¢	Ability to work flexible hours, including nights and weekends;  â€¢	Multilingual.",140000.0
all candidates must have at least 24 credits in accounting from an accredited college including at least one course each in auditing,140000.0
"The preferred candidate should possess the following: â€¢	5-8 Years experience in Information Security or related field; â€¢	Experienced in vulnerability management and assessment; â€¢	Knowledge of common vulnerability frameworks (CVSS, OWASP Top 20); â€¢	Strong understanding of vulnerability management and security testing practices and methodologies; â€¢	Knowledge of vulnerability frameworks, application vulnerabilities and network protocols; â€¢	Have a solid work ethic based on a strong desire to exceed expectations; hands-on experience working successfully in a very fast-paced, results-oriented environment; â€¢	Excellent decision making ability with incomplete information; â€¢	Excellent written and verbal communication skills; â€¢	Self-motivated, team player, and detail oriented; â€¢	BS/BA in Information Security or related field;Plus: CISSP, CISM, GSEC, Security+, ITIL certified or equivalent experience.",140000.0
"The position requires a strong background in real estate finance, with experience in community development a plus. All candidates should have:  -Extensive knowledge of financial tools and theory as well as facility in the use and analysis of financial models -Excellent verbal and written communication skills -Excellent analytical, organizational, and quantitative abilities -Demonstrated ability to meet deadlines and manage multiple projects in a timely manner  -Demonstrated supervisory experience -Strong track record of working with the affordable housing development industry",137410.0
"including part-time and/or volunteer experience.\"",137410.0
"â€¢	A passion for applying an intersectional equity lens to policies and procedures. â€¢	An eagerness to work on a close-knit team.  â€¢	A keen sense of how to engage effectively in tough conversations.  â€¢	Great relationship-building skills and an ability to build bridges when there are silos. â€¢	Ability to independently take on projects and join policy discussions with guidance as needed. â€¢	Substantive knowledge of Federal, State and Local employment laws â€¢	Working knowledge of disability rights issues â€¢	Excellent communication skills, including proven ability to effectively analyze and interpret employment issues  â€¢	Proven ability to communicate, verbally and in writing, with all levels of a diverse workforce â€¢	Strong interpersonal skills â€¢	Experience working independently with minimal oversight â€¢	Highest ability to exercise and maintain confidentiality  This position is open to qualified persons with a disability who are eligible for the 55-a Program. Please indicate in your cover letter or resume that you would like to be considered for the position under the 55-a Program.",137410.0
"We are looking for a proven leader, seasoned manager, and experienced litigator with:  â€¢	A J.D. and at least five years of substantial civil litigation or regulatory enforcement experience subsequent to admission to any bar, at least twelve months of which must have been in the supervision of other attorneys  â€¢	At least two yearsâ€™ experience managing staff â€¢	Experience with tax or real estate matters is a plus â€¢	Excellent verbal and written communication skills, including the ability to effectively communicate relevant legal concepts to a general audience   â€¢	Excellent analytical and research skills, attention to detail, and comfort with a data-driven approach to policy and procedure development â€¢	Strong interpersonal, creative problem-solving and organizational skills â€¢	Proven ability to work productively and collaboratively as part of a team, and to lead a team on complex investigations and enforcement actions â€¢	Excellent judgment and decision-making skills â€¢	Strong facility with Microsoft Office Suite, especially Excel, Word, PowerPoint, Outlook â€¢	Preference will be given to candidates with:           o	  experience working for or with government agencies and government programs related to affordable housing compliance           o	  knowledge of rent regulations and NYC tax incentives programs",137410.0
including one year in a project leader capacity or as a major contributor on a complex project; or  (3) A satisfactory combination of education and experience that is equivalent to (1) or (2) above. College education may be substituted for up to two years of the required experience in (2) above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. A masters degree in computer science or a related computer field may be substituted for one year of the required experience in (1) or (2) above. However,136951.0
Ability to communicate effectively in verbal and written form.  Possession of a Motor Vehicle Driver's license valid in the State of New York is preferred.  Must be able to work a night shift.,136023.0
city planning,136023.0
"1.	A valid NYS Professional Engineers license   2.	Managerial training and/or extensive managerial experience, including conflict resolution  3.	Excellent oral and written communication skills towards a technical and non-technical audience  4.	Knowledge of City, State and Federal environmental requirements for water, wastewater and hazardous materials  5.	Contract administration  6.	Hydraulic analysis",136023.0
"a baccalaureate degree and eighteen (18) months of managerial experience in city planning is required of all candidates. Graduate work leading to an advance degree in city planning or related field may be substituted for up to two (2) years of the non-managerial experience on a year-for-year basis. Graduation from an accredited United States Law School may be substituted for two (2) years of non-managerial experience.\"",136023.0
"The preferred candidate should possess the following:  	Excellent verbal and oral communication skills  	Experience working in a security environment and/or supporting security teams from a technical standpoint 	In-depth knowledge of the current cyber threat landscape, with a specific focus on the technical aspects of adversarial Tactics, Techniques and Procedures (TTPs) and their relation to the cyber kill chain and other analytical models 	Fundamental analytic tradecraft skill sets, with extensive experience in the extraction and analysis of tactical intelligence from investigations 	Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, and non-repudiation) 	Strong understanding of vulnerability and exploitation concepts, or experience in penetration testing 	Expertise in host and network-based forensics, or Incident Response best practices 	Strong understanding of dynamic/behavioral malware analysis methods and technology 	Experience in host and network-based defense, or monitoring and detection best practices",135000.0
"The preferred candidate should possess the following:  â€¢	5 years of experience in software security; â€¢	Knowledge of Data Privacy Impact Assessments; â€¢	Knowledge of web/non-web/native mobile software programming technologies (Java, C#, java script, HTML and etc) structures and logic; â€¢	Knowledge of relational databases, web applications and services; â€¢	Knowledge of web/non-web/native mobile system and application security threats and vulnerabilities (e.g., buffer overflow, cross-site scripting, code injections, race conditions, covert channel, replay, return-oriented attacks, malicious code); â€¢	Skills in conducting software vulnerability scans (DAST, SAST and etc) and recognizing vulnerabilities in security systems Tooling: IBM AppScan, Qualys, Veracode, WebInspect, Burp Suite, Postman Preferred Skills; â€¢	Knowledge of secure configuration management techniques. (e.g., Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurity.org); â€¢	Knowledge of software debugging principles; â€¢	Skills in designing application and infrastructure countermeasures to identified security risks; â€¢	Skills in developing and applying security system access controls, PKI and cryptography; â€¢	Skill in using code analysis tools; â€¢	Skill in performing root cause analysis; â€¢	Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).",135000.0
"The preferred candidate should possess the following: -	Excellent verbal and oral communication skills are required; -	Experience with the incident response process, including detected adversarial activities, log analysis, and malware analysis; -	Experience working in a security environment and/or supporting security teams from a technical standpoint; -	Experience creating logic to develop security alerts and applying them to large sets of data; -	Expertise in querying against, manipulating, and visualizing large data sets to assist in different analytical techniques that include but are not limited to stack counting, clustering, grouping, etc; -	Experience with regular expressions, and scripting languages such as Python and/or PowerShell; -	In-depth knowledge of the current cyber threat landscape, with a specific focus on adversarial Tactics, Techniques and Procedures (TTPs) and how to create hypotheses to hunt across them in an environment; -	Experience reviewing and analyzing Security Events from various monitoring and logging sources;  -	Experience with creating signatures defensive and hunting capabilities including Snort, YARA, etc; -	Knowledge of, and experience with packet analysis and IDS/IPS technology;  -	Formal education or a strong background in Computer Science, computer engineering or similar experience;  -	An active knowledge of current trends in computer security, software/hardware vulnerabilities;  -	Active interest in current security research;  -	Strong sense of teamwork, an inquisitive mind and the desire to share knowledge;  -	Knowledge of multiple operating systems (Windows, Linux, OSX), their files systems, and registry functions.",135000.0
"all candidates must have at least one year of satisfactory (not classroom based) full-time information technology experience as described in \"\"1\"\" above.\"",134914.0
"The preferred candidate should possess the following: PMP & ITIL certifications, or similar; 10 + years; experience project managing large projects (end to end); 5+ years; experience in vendor management; strong negotiation and conflict management skills; strong Client Management skills; demonstrated experience working with technical and non-technical staff; expert level knowledge of wireless technology protocols such as LTE, TD-CDMA and HSDPA; exceptional knowledge of Microsoft programs such as MS Word, Excel, PowerPoint and Access; strong written and verbal communication skills.",134070.0
"â€¢ Extensive demonstrated experience in a financial services firm with expertise in infrastructure or private equity;  â€¢ Experience in investment manager sourcing and due diligence, portfolio management, structuring and monitoring;   â€¢ Chartered Financial Analyst Certification is ideal;   â€¢ MBA or a graduate degree in Finance;   â€¢ Excellent financial, writing, presentation,  interpersonal, communication, and organizational skills;  â€¢ Proficiency in Microsoft Office Suite.",133900.0
all candidates must possess a valid New York State license as a Registered Nurse,133327.0
"Experience in and working knowledge of capital project financing and other related financing transactions, not-for-profit and/or corporate governance, local, state and federal regulatory compliance, New York Not-For-Profit Law, federal securities laws, and applicable federal income tax issues and complex debt instruments are preferred.",133040.0
"The successful applicant should preferably have experience in labor and employment litigation, with strong oral and written advocacy skills and the ability to work independently and manage a large caseload. Admission to practice in the Southern and Eastern District Courts of New York preferred.",133040.0
Ability to communicate effectively in verbal and written form.  Possession of a Motor Vehicle Driver's license valid in the State of New York is preferred.  Ability to work off-hours when necessary.,132061.0
"all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in \"\"2\"\" above. Two years as a City Research Scientist Level I can be substituted for the experience required in \"\"1\"\" and \"\"2\"\" above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.\"",130939.0
"Â¿	Experience in web application development including HTML, CSS, Javascript,  Node.js, Express.js, Services/APIs and databases using multiple languages, framework; Â¿	Experience working with API integrations or programming experience (Java, Python, C#, .NET, Ruby, Python, PHP, etc.); Â¿	Proficient knowledge of most common databases including Oracle, Microsoft SQL Server, MySQL, MongoDB, CouchDB, etc; Â¿	Experience with iterative agile methodology and use of tools like JIRA, Confluence, Git; Â¿	Knowledge of Data Warehousing include relational data modeling and OLAP principles; Â¿	Familiarity with data analysis, database design technologies and tools; Â¿	Ability to handle confidential and highly sensitive information in a professional manner;  Â¿	Experience working with cloud computing integration such AWS, Azure; Â¿	Experience with mobile applications a plus; Â¿	Excellent communication and presentation skills, both verbal and written;",130000.0
"The preferred candidate should possess the following: â€¢	Academic or professional experience with report writing and editing; â€¢	A passion for technology and innovation; â€¢	Strong written, verbal, and visual communication skills; â€¢	Experience working in a high-pressure environments and meeting deadlines; â€¢	Collaborative nature; â€¢	A growth mindset.",130000.0
"- Strong experience with EMC Storage Systems like VMAX and VPLEX - Strong experience with EMC Replication technology like SRDF - Strong experience with Veritas NetBackup tools to backup Servers, Oracle DBs and VMware VMs - Strong experience with Physical",130000.0
"1.  Ten (10) plus years of full-time paid experience in civil/structural, mechanical, or electrical engineering work. 2.  Six (6) plus years managing and supervising staff. 3.  Proven leadership skills, including the ability to nurture, inspire, mentor and direct staff in a positive and professional manner. 4.  Excellent verbal and written communication skills with ability to clearly and precisely communicate ideas and expectations. 5.  A comprehensive understanding of the development, coordination, and constructability of comprehensive bid documents. 6.  Profound knowledge of structural, mechanical and electrical engineering principles.",130000.0
"The preferred candidate should possess the following:  â€¢	Strong troubleshooting skills in a Windows 2012/2016 environment; â€¢	Ability to quickly learn new tools and resolve issues using all available resources; â€¢	Strong interpersonal skills and ability to work well in a team environment; â€¢	Ability to Troubleshoot and resolve AD, GPO, Kerberos, Active Directory Federated Services, MS Azure, Centrify, Multi-Factor and other password authentication and authorization systems; â€¢	Strong hands on experience administering Microsoft Azure security tools including Azure Advanced Threat Protection (ATP), Office 365 ATP, Advanced Threat Analytics (ATA), and Microsoft Security and Compliance Center; â€¢	Expert level knowledge of Microsoft Active Directory LDAP service, shell scripting, Certificate services (PKI), AD Site Topology   all under a multi-site multi-domain Windows 2008/2012/2016 environment; â€¢	10+ years of hand-on experience with Windows 2008/2012/2016 server- Forest, Domain trust, AD, DFS, DNS, WINS, DHCP, Group Policy; â€¢	5+ years of experience in working in a Hybrid Multi-cloud, Multi-tenant environment including Active Directory, Azure Active Directory, GCP and AWS; â€¢	3+ years of experience administering Azure Active Directory (AD) Connect, Azure Conditional Access, Azure AD Security and Compliance, and Azure Advanced Treat Protection (ATP)/Advanced Threat Analytics (ATA); â€¢	2+ years of experience working with SAML, OAuth, Role Based Accesses Control (RBAC), Identity Access Management (IAM), â€¢	Privileged Access Management (PAM), and Attribute Based Access Controls (ABAC); â€¢	Deep understanding of cloud architectures on Azure, AWS and/or Google; â€¢	Strong knowledge and of experience architecting complex large-scale systems incorporating packaged and custom applications; â€¢	Knowledge of common technology methodologies, including TOGAF and ITIL; â€¢	Strong knowledge and experience across business, security, application, information, integration, UX and infrastructure architecture domains; â€¢	Understanding of DevOps concepts and tools",130000.0
"The preferred candidate should possess the following:  â€¢	Previous management experience of two or more attorneys;    â€¢	Rigorous attention to detail;    â€¢	Ability to work effectively with staff in widely varied areas of responsibility;    â€¢	Strong written and verbal communication skills;    â€¢	Knowledge of or interest in technology;    â€¢	Meticulous research and interpretation of complex or highly technical laws, rules or regulations;    â€¢	Ability to analyze, study and report on the effects of city, state and federal legislation; and draft concise communications and correspondence and draft and negotiate agreements;    â€¢	Proficiency in Microsoft Word, Excel and Access;  â€¢	SharePoint; and the ability to work with databases in general;    â€¢	Four years' post-graduate relevant legal experience. Litigation experience a plus, but not required.",130000.0
"PREFERRED SKILLS â€¢	7 or more years of Supervisory experience  â€¢	Significant prior appellate experience i.e. research, drafting, filing and arguing of complex and high-profile appellate cases â€¢	Strong organizational skills  â€¢	Strong analytical, organizational, written and oral communication skills",130000.0
"PREFERRED SKILLS â€¢	Supervisory experience and foreign language skills a plus; â€¢	At least 6 yearsâ€™ experience in prosecuting misdemeanors; â€¢	Strong analytical, organizational, written and oral communication skills; â€¢	Resourcefulness and ability to work independently and as part of a team",130000.0
"- Strong experience in Red Hat Enterprise Linux (RHEL) - Strong experience in RHEL 6/7 Linux administration, performance tuning and support experience - Strong experience with configuring Red Hat Satellite, Kickstart servers, Identity Management - Experie",130000.0
"â€¢Polished senior level professional with 8 + years of experience in the construction sector, the last 3 of which has been in management position  â€¢Insightful and extensive knowledge of industry with established network of contacts. â€¢Demonstrates business savvy and high level of interpersonal skills. â€¢Excellent analytical, critical thinking, and creative problem-solving skills. â€¢Experience managing multiple stakeholders and staff.  â€¢Knowledge of adult learning best practices and occupational skills training. â€¢Significant experience in partner relationship management. â€¢Outstanding written and verbal communications skills, including formal presentation skills. â€¢Ability to effectively and confidently present to senior level public and corporate officials. â€¢Comfortable working in a fast-paced environment, managing multiple projects simultaneously and prioritizing projects to meet deadlines. â€¢Entrepreneurial and collaborative style that works well in teams. â€¢Knowledge of NYC labor market.",130000.0
"Â¿	5+ years of work experience in as a lead developer or architect in Data warehouse design and development Â¿	Proficient knowledge of most common relational databases including Oracle, Microsoft SQL Server, MySQL, MongoDB, CouchDB, etc; Â¿	Knowledge of Data Warehousing, dimensional data modeling and OLAP principles; Â¿	Ability to identify and diagnose database related issues, perform root cause analysis, and recommend corrective actions Â¿	Ability to handle confidential and highly sensitive information in a professional manner; Â¿	Experience working with Data Stage and Quality Stage or IBM MDM is a plus. Â¿	Experience working with cloud computing integration such AWS, Azure; Â¿	Excellent communication and presentation skills, both verbal and written;",130000.0
"1.	Excellent management, administrative and communication skills.   2.	Three years experience in special events, management of operations and/or emergency conditions.  3.	Proficiency in computer software including Microsoft Word and Excel and AMPS. 4.	Available to work evenings, weekends and respond to emergency 24/7. 5.	Valid New York State driver license.",128000.0
"â€¢	iManage 8.5 or above certification â€¢	Experience with DocAuto software â€¢	Excellent SQL query skills â€¢	Knowledge of Windows 10;  â€¢	Experience with application installation, data conversion and testing.",126575.0
"(1) Microsoft Certified Professional. (2) Technically proficient in more than one language and platform. Expertise and knowledge of building large-scale information systems. (3) Experience in Javascript frameworks like Backbone, AngularJS. (4) Experience in Responsive design frameworks like Bootstrap. (5) Experience in Wireless/Mobile/Disconnected architecture/applications. (6) Experience in online payment implementation. (7) Application design expertise with large permit management systems. (8) Prior experience in federal/state/local government projects.",126575.0
candidates must have one year of experience at Assignment Level I or two years of comparable legal experience subsequent to admission to the bar,125681.0
"Â¿	Commitment to the mission of advancing greater equality and opportunity; Â¿	Proficient in MS Excel. SQL knowledge preferred; Â¿	Strong analytical skills  with ability to present complex data models to a non-technical audience; Â¿	Experience in large-scale data projects or migrations; Â¿	Excellent communication and organization skills; Â¿	Ability to think critically and detailed oriented;  Education  Bachelorâ€™s degree required. A Masters in Public Administration, Public Policy or Library Science preferred.",125000.0
"â€¢ Minimum 4 years prior Water Distribution experience preferred, 2 years or more supervising staff. â€¢ Degree in Civil or Mechanical engineering. â€¢ NYS Driver's License â€¢ Strong project management and analytical skills. â€¢ Ability to prioritize multiple priorities. â€¢ Experience liaising with multiple groups to complete projects.",125000.0
"â€¢	A minimum of four (4) years of satisfactory full-time experience in the field of Diversity and Inclusion, EEO, Labor or Industrial Relations and Workforce Development. Such experience may have been gained in either the private or public sector. â€¢	Three (3) years of this experience in a managerial or executive capacity, supervising staff and reporting to executive leadership. â€¢	Certifications as a diversity and inclusion, labor relations, or human resources professional are preferred along with existing memberships in best practices organizations. â€¢	Strong leadership skills to effectuate agency wide policies and procedures, implement change, along with exceptional analytical and communication skills. â€¢	Good understanding and familiarity with human resources policies, procedures and directives, civil service rules and regulations, personnel administration and labor laws. â€¢	The candidate should have demonstrated ability establishing, executing and measuring successful diversity and inclusion efforts and workplace and community strategies, as well as serving as a change agent by mobilizing and influencing key stakeholders. â€¢	Significant experience with and/or comprehensive knowledge of the laws and regulations relating to EEO. â€¢	Familiarity with investigatory practices and a working knowledge of mediation and alternate dispute practices are beneficial. â€¢	Experience with contracting and marketing initiatives to enhance diversity, inclusion and minority and women-owned business enterprise (M/WBE) participation.",125000.0
"â€¢	At least 5 Years of technical working knowledge with the Microsoft Dynamics CRM Platform â€¢	At least 7 Years of working knowledge in a developer capacity of: C#, ASP.NET, MVC, Web API, SQL, JavaScript, HTML, Visual Studio â€¢	At least 3 Years of working knowledge in a developer capacity of: Angular JS â€¢	At least 3 Years of working knowledge in a developer capacity as part of a team utilizing SCRUM Agile Method â€¢	Excellent communication skills",125000.0
"â€¢ Strong analytical, organizational, written and oral communication skills. â€¢ Strong people skills. â€¢ Resourcefulness, ability to work independently, and as part of a team, in a fast paced environment. â€¢ Foreign language skills a plus",125000.0
"Five yearsâ€™ experience managing communication programs, media relations and/or marketing programs for a large organization   Innovative thinker, excellent and persuasive communicator with a track record for translating and executing strategic thinking into action plans  Outstanding project management skills   Self-starter who can work independently and in a fast-paced environment with tight deadlines   Ability to work independently with little direction, and take initiative to improve processes and solve problems.",125000.0
"â€¢ Experience working with design contractors and governmental agencies specific to    the construction of correctional facilities.  â€¢ Experience with large complex projects with varied stakeholders and various methods    of construction procurement (DBOM, PPP, Design/Build, etc).   â€¢ Extensive knowledge of local, federal, and state project approvals, permitting, and    regulatory processes.  â€¢ Superior organizational and multi-tasking skills, including the ability to take initiative    and work independently on tasks with broadly-defined objectives.     â€¢ Ability to apply strategic critical thinking and problem-solving skills to complex and    dynamic situations; strong research and analytic skills.    â€¢ In-depth knowledge of modern principles and practices in correctional administration,    management and operations; inmate housing and classification, correctional facility    security and emergency response operations.",125000.0
"Â¿	Commitment to the mission of advancing greater equality and opportunity; Â¿	Expertise in digital product management and strategy; Â¿	Ability to self-direct work; Â¿	Excellent communication and presentation skills, both verbal and written; Â¿	Client focused, committed to rapid execution, and strategic and flexible; Â¿	Integration of API and open platforms that promote civic engagement and innovation and improve service delivery;",125000.0
"candidates must have one additional year of satisfactory full-time experience working in Assignment Level I; or one additional year of satisfactory full-time experience as described in \"\"1\"\" above.  6.  For Assignment to Level III",122168.0
to be eligible for placement in Assignment Levels II and III,122168.0
in addition to meeting the qualification requirements for Assignment Level I,122168.0
"5-7 Years of experience developing and maintaining medium to large SharePoint implementations. Experience developing enterprise grade applications in C# or Java with MVS architecture. Extensive experience with SharePoint out of the box features, Content Management, Wiki, Blogs and Search Configurations. Experience with Business Connectivity Services, Master Pages, Apps, Page Layouts, User Store, Web Parts and Workflow Foundation. Experience using and configuring SharePoint Designer. Experience with designing, building and managing large document libraries. Knowledge of application integration with Cloud services and Nintex. Experience developing custom applications that perform CRUD operations. Experience managing security on sites and sub-sites and laying out information architecture. Experience configuring SharePoint services and settings. Experience managing content databases, site layout structures, site quotas and limits. Experience in database design, stores procedures and SQL in MS SQL 2008 and above. Able to multi-task and be pro-active in project planning, requirements gathering and setting priorities based on impact and risk to the business without supervision.",121363.0
"â€¢	At least 3 years of experience performing customizations and configurations on the Microsoft Dynamics CRM/XRM platform (2013/2015/2016/365) â€¢	At least 5 years of experience developing web applications in C# using MVC, XML, and creating and consuming WCF/REST services/WebAPI â€¢	At least 4 years of experience developing .NET plugins using C# and writing JavaScript for customizations use in Dynamics CRM â€¢	At least 3 year of experience with .NET Framework 3.5 or higher and IIS 7.5 or higher â€¢	At least 5 years of experience writing complex queries in T-SQL â€¢	At least 3 year of experience developing reports using SSRS â€¢	At least 3 year of experience developing and using WCF and REST services. â€¢	Microsoft certifications for Dynamics CRM and .NET web applications are a plus â€¢	Strong verbal and written communication skills â€¢	Ability to meet deadlines, goals, and objectives within timeline   Certifications   â€¢	Certifications for Microsoft Dynamics CRM are strongly preferred â€¢	MB2-704 Microsoft Dynamics CRM Application â€¢	MB2-707 Microsoft Dynamics CRM Customization and Configuration â€¢	MB2-712 Microsoft Dynamics CRM 2016 Customization and Configuration â€¢	MB2-716 Microsoft Dynamics 365 Customization and Configuration â€¢	MB2-717 Microsoft Dynamics 365 for Sales â€¢	Certifications for .NET Framework, SQL, WebAPI, and Web Development are preferred â€¢	70-480 Programming in HTML5 with JavaScript and CSS3 â€¢	70-483 Programming in C# â€¢	70-486 Developing ASP.NET MVC Web Applications â€¢	Microsoft Certified Applications Developer (MCAD) â€¢	Microsoft Certified Solutions Developer (MCSD)",121363.0
"â€¢	Experience or familiarity with the Commissionâ€™s work, the City Human Rights Law, City government, and City agencies. â€¢	Legal experience in a General Counselâ€™s office at a local, state, or federal government agency. â€¢	Litigation experience, preferably in administrative law, New York state civil procedure, FOIL, labor, and/or employment disputes. â€¢	Experience in one or more of the following areas:  City procurement and contracting; privacy regulations; government audits; EEO; labor relations; ;   â€¢	Excellent interpersonal skills, including demonstrated success working collaboratively with colleagues, clients, direct reports, and/or supervisors. â€¢	Exceptional organization and project management skills and ability to work independently, including demonstrated experience managing diverse workload with competing deadlines. â€¢	Demonstrated success in strategic thinking and creative problem-solving skills.  â€¢	Excellent attention to detail.  â€¢	Strong work ethic.  â€¢	Strong oral and written communication skills. â€¢	Strong customer service skills. â€¢	Fluency in a language other than English, preferably one common in New York City. â€¢	Strong relationships with advocacy organizations or non-profits working with communities of color; lesbian, gay, bisexual, and transgender communities; ethnic and religious communities; people with limited English proficiency; advocates for people with disabilities; advocates for people living with HIV/AIDS; immigrant communities; people with accommodation issues related to pregnancy, disability, or religion; people with criminal or arrest histories; veterans; and/or other communities the Commission will be working with on outreach, education and support. â€¢	Candidates must provide satisfactory references and recent writing samples representing the candidateâ€™s efforts, not those of a reviewer.",120982.0
"Responsible, relevant, satisfactory legal and land use experience.",120000.0
